mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name
21.0,0.2,0.18604651162790697,0.14130434782608695,0.2234193365466402,0.6845238095238095,0.25,1,chevrolet vega
25.1,0.2,0.18604651162790697,0.22826086956521738,0.31386447405727247,0.44047619047619047,0.6666666666666666,1,ford fairmont (man)
15.5,1.0,0.7286821705426356,0.6739130434782609,0.7235611000850581,0.20238095238095238,0.5833333333333334,1,chevrolet monte carlo landau
18.0,0.2,0.13695090439276486,0.358695652173913,0.3742557414233059,0.38690476190476186,0.16666666666666666,2,volvo 145e (sw)
15.5,1.0,0.8578811369509044,0.782608695652174,0.7689254323787922,0.24999999999999994,0.5833333333333334,1,chrysler cordoba
24.5,0.2,0.2144702842377261,0.22826086956521738,0.3195350155939892,0.47619047619047616,0.5833333333333334,1,pontiac sunbird coupe
12.0,1.0,1.0,0.9728260869565217,0.9464133824780266,0.17857142857142858,0.25,1,buick electra 225 custom
29.0,0.2,0.07493540051679587,0.15760869565217392,0.1582081088743975,0.47619047619047616,0.4166666666666667,3,toyota corolla
18.0,0.6,0.40568475452196384,0.266304347826087,0.6158208108874398,0.6547619047619048,0.4166666666666667,1,plymouth fury
37.7,0.2,0.05426356589147287,0.08695652173913043,0.12390133257726113,0.5535714285714286,0.9166666666666666,3,toyota tercel
22.0,0.6,0.4702842377260982,0.32065217391304346,0.4933371136943578,0.38690476190476186,0.5,1,chevrolet nova
13.0,1.0,0.6046511627906976,0.45108695652173914,0.44116813155656365,0.23809523809523808,0.4166666666666667,1,ford mustang ii
27.0,0.2,0.07493540051679587,0.22826086956521738,0.14658349872412815,0.38690476190476186,0.08333333333333333,3,datsun pl510
25.5,0.2,0.18604651162790697,0.23369565217391305,0.3237879217465268,0.4642857142857143,0.5833333333333334,1,ford mustang ii 2+2
15.0,1.0,0.9328165374677002,0.8260869565217391,0.7734618656081655,0.11904761904761904,0.0,1,ford galaxie 500
13.0,1.0,0.7286821705426356,0.592391304347826,0.8191097249787355,0.3273809523809524,0.16666666666666666,1,buick lesabre custom
18.1,1.0,0.6046511627906976,0.5054347826086957,0.4513751063226538,0.19047619047619044,0.6666666666666666,1,ford futura
19.0,0.6,0.4702842377260982,0.29347826086956524,0.4732066912390133,0.41666666666666663,0.08333333333333333,1,pontiac firebird
21.0,0.6,0.34108527131782945,0.21195652173913043,0.27615537283810604,0.47619047619047616,0.0,1,ford maverick
28.8,0.6,0.2713178294573643,0.375,0.2784235894527927,0.19642857142857145,0.75,1,chevrolet citation
28.0,0.2,0.11369509043927649,0.22826086956521738,0.2812588602211511,0.6904761904761906,1.0,1,chevrolet cavalier
19.9,1.0,0.49612403100775193,0.34782608695652173,0.49673943861638786,0.4464285714285714,0.6666666666666666,1,oldsmobile cutlass salon brougham
13.0,1.0,0.6046511627906976,0.5108695652173914,0.7601360929968812,0.47619047619047616,0.16666666666666666,1,ford gran torino (sw)
27.2,0.2,0.18863049095607234,0.1358695652173913,0.4471222001701162,1.0,0.75,2,peugeot 504
19.1,0.6,0.40568475452196384,0.2391304347826087,0.5012758718457613,0.6369047619047619,0.8333333333333334,1,dodge aspen
24.0,0.2,0.17054263565891473,0.2717391304347826,0.3087609866742274,0.3273809523809524,0.4166666666666667,3,toyota corona
31.0,0.2,0.007751937984496124,0.10326086956521739,0.04536433229373405,0.6547619047619048,0.08333333333333333,3,toyota corolla 1200
17.0,0.6,0.42118863049095606,0.34782608695652173,0.650411114261412,0.7738095238095237,0.4166666666666667,1,buick century
14.0,1.0,0.7028423772609819,0.6195652173913043,0.5659200453643323,0.0,0.0,1,plymouth 'cuda 340
22.0,0.6,0.3359173126614987,0.266304347826087,0.34590303373972214,0.4464285714285714,0.0,1,plymouth duster
13.0,1.0,0.7286821705426356,0.5380434782608695,0.6733768074851149,0.2976190476190476,0.25,1,chevrolet malibu
18.0,0.6,0.40568475452196384,0.32065217391304346,0.42755883186844346,0.5059523809523809,0.25,1,plymouth valiant
28.0,0.2,0.1343669250645995,0.1793478260869565,0.28692940175786785,0.630952380952381,1.0,1,ford ranger
28.0,0.2,0.2144702842377261,0.2391304347826087,0.30195633683016726,0.5059523809523809,0.8333333333333334,1,chevrolet citation
24.0,0.2,0.10077519379844961,0.2391304347826087,0.2316416217748795,0.38690476190476186,0.0,2,audi 100 ls
20.0,0.2,0.16020671834625322,0.30434782608695654,0.4357811170966827,0.45833333333333326,0.5,2,volvo 245
15.0,1.0,0.6459948320413437,0.5652173913043478,0.5063793592288064,0.17857142857142858,0.25,1,dodge dart custom
21.0,0.2,0.13953488372093023,0.21739130434782608,0.1738020981003686,0.5059523809523809,0.16666666666666666,1,ford pinto runabout
17.0,1.0,0.6124031007751938,0.45652173913043476,0.6314148001134108,0.44047619047619047,0.75,1,chevrolet caprice classic
23.0,1.0,0.7286821705426356,0.42934782608695654,0.648426424723561,0.5595238095238094,0.75,1,cadillac eldorado
15.0,1.0,0.6098191214470284,0.5652173913043478,0.6461582081088744,0.26785714285714285,0.16666666666666666,1,amc matador (sw)
20.0,1.0,0.5012919896640827,0.34782608695652173,0.45591153955202723,0.3273809523809524,0.4166666666666667,1,chevrolet monza 2+2
26.6,1.0,0.7286821705426356,0.32065217391304346,0.5988091862772895,0.6547619047619048,0.9166666666666666,1,oldsmobile cutlass ls
16.0,1.0,0.8578811369509044,1.0,0.7555996597675078,0.08928571428571429,0.25,1,pontiac grand prix
29.8,0.2,0.17054263565891473,0.2391304347826087,0.3113127303657499,0.4464285714285714,0.8333333333333334,3,toyota corona liftback
26.0,0.2,0.22739018087855298,0.25,0.27558831868443434,0.38690476190476186,1.0,1,chrysler lebaron medallion
39.0,0.2,0.046511627906976744,0.09782608695652174,0.0742840941309895,0.4999999999999999,0.9166666666666666,1,plymouth champ
16.2,0.6,0.2454780361757106,0.47282608695652173,0.5094981570740006,0.4642857142857143,0.6666666666666666,2,peugeot 604sl
31.5,0.2,0.05426356589147287,0.1358695652173913,0.10688970796711086,0.4107142857142857,0.6666666666666666,2,volkswagen scirocco
21.0,0.6,0.2248062015503876,0.33152173913043476,0.2435497590019847,0.35714285714285715,0.25,1,mercury capri v6
17.5,0.6,0.4909560723514212,0.266304347826087,0.44797278140062374,0.5833333333333334,0.5,1,amc pacer d/l
31.9,0.2,0.05426356589147287,0.1358695652173913,0.0884604479727814,0.35714285714285715,0.75,2,vw rabbit custom
13.0,1.0,0.7312661498708011,0.6086956521739131,0.779699461298554,0.2976190476190476,0.25,1,ford ltd
17.0,1.0,0.49612403100775193,0.34782608695652173,0.6937907570172952,0.6547619047619048,0.5833333333333334,1,oldsmobile cutlass supreme
18.0,0.6,0.40568475452196384,0.32065217391304346,0.5670541536716757,0.5059523809523809,0.3333333333333333,1,plymouth satellite sebring
26.0,0.2,0.07493540051679587,0.17391304347826086,0.19478310178622057,0.38690476190476186,0.3333333333333333,2,opel manta
14.0,1.0,0.6459948320413437,0.5652173913043478,0.7439750496172385,0.38690476190476186,0.25,1,plymouth fury gran sedan
23.0,0.2,0.1343669250645995,0.22826086956521738,0.381060391267366,0.5357142857142857,0.4166666666666667,2,peugeot 504
20.2,0.6,0.34108527131782945,0.21195652173913043,0.38332860788205275,0.4642857142857143,0.6666666666666666,1,ford fairmont (auto)
14.0,1.0,0.7312661498708011,0.5815217391304348,0.7133541253189679,0.2976190476190476,0.16666666666666666,1,ford galaxie 500
17.5,0.6,0.4702842377260982,0.34782608695652173,0.5406861355259427,0.4999999999999999,0.5833333333333334,1,chevrolet concours
22.0,0.2,0.13695090439276486,0.2826086956521739,0.377658066345336,0.38690476190476186,0.4166666666666667,2,volvo 244dl
34.5,0.2,0.09560723514211886,0.13043478260869565,0.1522540402608449,0.4107142857142857,0.75,1,plymouth horizon tc3
15.0,0.6,0.4702842377260982,0.14130434782608695,0.43804933371136945,0.6845238095238095,0.4166666666666667,1,ford maverick
18.0,1.0,0.6459948320413437,0.5652173913043478,0.5168698610717324,0.17857142857142858,0.0,1,plymouth satellite
26.6,0.2,0.2144702842377261,0.20652173913043478,0.28976467252622623,0.4999999999999999,0.9166666666666666,1,buick skylark
19.0,0.6,0.42377260981912146,0.29347826086956524,0.2894811454493904,0.2976190476190476,0.08333333333333333,1,amc gremlin
13.0,1.0,0.6046511627906976,0.45652173913043476,0.639920612418486,0.41666666666666663,0.5,1,ford f108
20.0,0.6,0.3359173126614987,0.266304347826087,0.4221718174085625,0.5059523809523809,0.3333333333333333,1,plymouth duster
33.0,0.2,0.059431524547803614,0.03804347826086957,0.051601927984122484,0.5595238095238094,0.5,3,honda civic
18.0,0.6,0.3385012919896641,0.27717391304347827,0.3291749362064077,0.4464285714285714,0.0,1,amc hornet
44.6,0.2,0.059431524547803614,0.11413043478260869,0.06719591721009356,0.3452380952380953,0.8333333333333334,3,honda civic 1500 gl
25.0,0.2,0.07622739018087855,0.18478260869565216,0.1454493904167848,0.5357142857142857,0.16666666666666666,1,dodge colt hardtop
12.0,1.0,0.9328165374677002,0.8260869565217391,0.9466969095548625,0.20833333333333331,0.25,1,mercury marquis brougham
